epoch,train_loss,val_loss,lr
1,0.8645952369974947,0.8040096488865939,0.001
2,0.7409552030179692,0.7719525071707639,0.001
3,0.6927248064128831,0.7263845566547278,0.001
4,0.6591279465576698,0.7078413349209409,0.001
5,0.6290042644259574,0.7202706463409193,0.001
6,0.6020101726740256,0.7033760764382102,0.001
7,0.5788856591301402,0.6893152486194264,0.001
8,0.5568787636428044,0.6880575292038195,0.001
9,0.5330909742706124,0.6732777031985197,0.001
10,0.515311393107491,0.668913972197157,0.001
11,0.5017441067202338,0.667008149804491,0.001
12,0.4846376283415433,0.6791616389245698,0.001
13,0.46740292475141326,0.6804182330767313,0.001
14,0.44985800269006315,0.6672621405485905,0.001
15,0.43636418334369004,0.6904714414567659,0.001
16,0.4241664041047809,0.6777628822760149,0.001
17,0.4161535152758675,0.6769246422883236,0.0005
18,0.3783250231852477,0.6837515830993652,0.0005
19,0.36926317146454735,0.6667460374759905,0.0005
20,0.3629656775244351,0.6837806322357871,0.0005
21,0.35003165595832914,0.6957406410665223,0.0005
22,0.3476032603061062,0.6899139483769735,0.0005
23,0.3427528636208896,0.6993552148342133,0.0005
24,0.33925523990872264,0.7062584062417349,0.0005
25,0.33536816499699124,0.7244929463574381,0.00025
26,0.319018053323373,0.6943645910783247,0.00025
27,0.3163537314568443,0.697748452425003,0.00025
28,0.3097482690180855,0.7055013793887515,0.00025
29,0.3072467967696573,0.6992112343961542,0.00025
