job 583355 on trpro-slurm2
shard 5/8: 2023-08-16 .. 2024-03-21 (219 days of 1745)
=== U-Net pipeline: fetch ===
  data dir : /mnt/wato-drive/c52li/weatherloo-data/unet
  GFS      : https://noaa-gfs-bdp-pds.s3.amazonaws.com (anonymous, byte-range GRIB)
  ERA5     : gs://gcp-public-data-arco-era5/ar/full_37-1h-0p25deg-chunk-1.zarr-v3 (anonymous)

opening ERA5 store (reads metadata only) ...
  ERA5 final-data boundary: 2026-04-30T23:00:00+00:00 (--end clamps to this; time axis is padded past it)

range 2023-08-16 .. 2024-03-21: 7008 samples
  already cached: 1752   to fetch: 5256   workers: 6
  expected footprint: ~1.5-2 MB/sample GRIB + ~21 KB/sample .npz (~11.7 GB total, GRIB pruned after caching)
  25/5256  (2.71 samples/s, ETA 32m 07s, 0 errors)
  50/5256  (3.05 samples/s, ETA 28m 24s, 0 errors)
  75/5256  (3.11 samples/s, ETA 27m 48s, 0 errors)
  100/5256  (2.72 samples/s, ETA 31m 34s, 0 errors)
  125/5256  (2.46 samples/s, ETA 34m 45s, 0 errors)
  150/5256  (2.56 samples/s, ETA 33m 17s, 0 errors)
  175/5256  (2.65 samples/s, ETA 31m 56s, 0 errors)
  200/5256  (2.71 samples/s, ETA 31m 03s, 0 errors)
  225/5256  (2.47 samples/s, ETA 33m 57s, 0 errors)
  250/5256  (2.52 samples/s, ETA 33m 06s, 0 errors)
  275/5256  (2.53 samples/s, ETA 32m 50s, 0 errors)
  300/5256  (2.57 samples/s, ETA 32m 10s, 0 errors)
  325/5256  (2.51 samples/s, ETA 32m 45s, 0 errors)
  350/5256  (2.55 samples/s, ETA 32m 03s, 0 errors)
  375/5256  (2.59 samples/s, ETA 31m 25s, 0 errors)
  400/5256  (2.54 samples/s, ETA 31m 55s, 0 errors)
  425/5256  (2.54 samples/s, ETA 31m 39s, 0 errors)
  450/5256  (2.58 samples/s, ETA 31m 03s, 0 errors)
  475/5256  (2.61 samples/s, ETA 30m 32s, 0 errors)
  500/5256  (2.57 samples/s, ETA 30m 51s, 0 errors)
  525/5256  (2.60 samples/s, ETA 30m 19s, 0 errors)
  550/5256  (2.56 samples/s, ETA 30m 35s, 0 errors)
  575/5256  (2.57 samples/s, ETA 30m 18s, 0 errors)
  600/5256  (2.60 samples/s, ETA 29m 48s, 0 errors)
  625/5256  (2.58 samples/s, ETA 29m 56s, 0 errors)
  650/5256  (2.61 samples/s, ETA 29m 24s, 0 errors)
  675/5256  (2.64 samples/s, ETA 28m 58s, 0 errors)
  700/5256  (2.65 samples/s, ETA 28m 36s, 0 errors)
  725/5256  (2.66 samples/s, ETA 28m 20s, 0 errors)
  750/5256  (2.68 samples/s, ETA 27m 58s, 0 errors)
