job 583354 on trpro-slurm2
shard 4/8: 2023-01-09 .. 2023-08-15 (219 days of 1745)
=== U-Net pipeline: fetch ===
  data dir : /mnt/wato-drive/c52li/weatherloo-data/unet
  GFS      : https://noaa-gfs-bdp-pds.s3.amazonaws.com (anonymous, byte-range GRIB)
  ERA5     : gs://gcp-public-data-arco-era5/ar/full_37-1h-0p25deg-chunk-1.zarr-v3 (anonymous)

opening ERA5 store (reads metadata only) ...
  ERA5 final-data boundary: 2026-04-30T23:00:00+00:00 (--end clamps to this; time axis is padded past it)

range 2023-01-09 .. 2023-08-15: 7008 samples
  already cached: 1752   to fetch: 5256   workers: 6
  expected footprint: ~1.5-2 MB/sample GRIB + ~21 KB/sample .npz (~11.7 GB total, GRIB pruned after caching)
  25/5256  (2.92 samples/s, ETA 29m 52s, 0 errors)
  50/5256  (3.13 samples/s, ETA 27m 42s, 0 errors)
  75/5256  (3.20 samples/s, ETA 27m 00s, 0 errors)
  100/5256  (2.77 samples/s, ETA 31m 00s, 0 errors)
  125/5256  (2.47 samples/s, ETA 34m 39s, 0 errors)
  150/5256  (2.58 samples/s, ETA 33m 00s, 0 errors)
  175/5256  (2.65 samples/s, ETA 31m 54s, 0 errors)
  200/5256  (2.72 samples/s, ETA 31m 02s, 0 errors)
  225/5256  (2.46 samples/s, ETA 34m 05s, 0 errors)
  250/5256  (2.49 samples/s, ETA 33m 29s, 0 errors)
  275/5256  (2.52 samples/s, ETA 32m 59s, 0 errors)
  300/5256  (2.56 samples/s, ETA 32m 16s, 0 errors)
  325/5256  (2.51 samples/s, ETA 32m 48s, 0 errors)
  350/5256  (2.54 samples/s, ETA 32m 11s, 0 errors)
  375/5256  (2.58 samples/s, ETA 31m 34s, 0 errors)
  400/5256  (2.54 samples/s, ETA 31m 55s, 0 errors)
  425/5256  (2.54 samples/s, ETA 31m 39s, 0 errors)
  450/5256  (2.57 samples/s, ETA 31m 07s, 0 errors)
  475/5256  (2.60 samples/s, ETA 30m 40s, 0 errors)
  500/5256  (2.57 samples/s, ETA 30m 52s, 0 errors)
  525/5256  (2.59 samples/s, ETA 30m 24s, 0 errors)
  550/5256  (2.56 samples/s, ETA 30m 37s, 0 errors)
  575/5256  (2.57 samples/s, ETA 30m 21s, 0 errors)
  600/5256  (2.60 samples/s, ETA 29m 51s, 0 errors)
