epoch,train_loss,val_loss,lr
1,0.7396366041356867,0.6507432771300128,0.001
2,0.6175941751475003,0.603662910269712,0.001
3,0.5733631092596819,0.588167101986088,0.001
4,0.5426682638293282,0.5574781483722814,0.001
5,0.5245680245358676,0.5430914503167693,0.001
6,0.510758146946443,0.5349587101626335,0.001
7,0.4968012044646523,0.539390444959505,0.001
8,0.48679238031254735,0.5441947208703125,0.001
9,0.4787495046375907,0.5252603084435312,0.001
10,0.469958974052878,0.5421147913480029,0.001
11,0.4644088842843306,0.5188630053485123,0.001
12,0.45589301634599816,0.5351635345135927,0.001
13,0.45049308690795287,0.5849204544739605,0.001
14,0.4459674527173374,0.5328273147574034,0.001
15,0.44043870204910235,0.5171523921707943,0.001
16,0.4343322766082172,0.521343936463316,0.001
17,0.4312095036353657,0.5119651293938133,0.001
18,0.4245973471014257,0.521800152402948,0.001
19,0.4223249881854032,0.5305916072977619,0.001
20,0.4181537505012145,0.5316410897326734,0.001
21,0.41557333781757455,0.5232517077843281,0.001
22,0.41039148803700737,0.519548124385961,0.001
23,0.40656832406865084,0.5368064422195441,0.0005
24,0.38672427023795836,0.5206188018042578,0.0005
25,0.38304164061571827,0.5251387540247829,0.0005
26,0.3812014863197816,0.5218375188045975,0.0005
27,0.37835460966283624,0.5256319399875286,0.0005
