epoch,train_loss,val_loss,lr
1,0.621495993628716,0.624017566148897,0.001
2,0.5329126591893549,0.5781644315952771,0.001
3,0.5076261219640175,0.5793167866196616,0.001
4,0.4911167908526209,0.5671731619217395,0.001
5,0.4790968403975827,0.5611315262524774,0.001
6,0.46963220042850357,0.5693051555497062,0.001
7,0.4620400574991181,0.5636458684525651,0.001
8,0.45497033602377607,0.555064306898867,0.001
9,0.4492189965028719,0.5722898299839683,0.001
10,0.4445277114978339,0.5574921441723022,0.001
11,0.4396172772192627,0.5584184573838173,0.001
12,0.435519535582503,0.5604323942815448,0.001
13,0.43140056109116137,0.5644244221980781,0.001
14,0.42809368264137343,0.5585407788621553,0.0005
15,0.411231800212874,0.554224113377751,0.0005
16,0.40766852132006054,0.5690481325492367,0.0005
17,0.40577955204802907,0.5575433402169931,0.0005
18,0.4038923798783901,0.5604807384313487,0.0005
19,0.40251356413406314,0.5706626991099959,0.0005
20,0.4010505530757599,0.5618577530344349,0.0005
21,0.39954435081374107,0.5633711025489823,0.00025
22,0.3906187672424487,0.5659402993637965,0.00025
23,0.3889767349286775,0.5646222573272135,0.00025
24,0.38797901306736315,0.5641496061808999,0.00025
25,0.3872127727232894,0.5733448157339525,0.00025
