year,month,day,hour,minute,Temperature,Precipitation - Tipping Bucket,Precipitation - Weighing,Solar - Incoming,Solar - Outgoing,Wind Speed - Average 4.4,Wind Speed - Gust 4.4,Wind Speed - Average 2.0,Wind Speed - Gust 2.0,Wind Direction,RH,Pressure,Soil Moisture - 5 cm,Soil Moisture - 10 cm,Soil Moisture - 20 cm,Battery,Dew Point                                                                    
2017,   1,   1,   0,   0,   -27.95667,     0.00000,     0.00000,     1.00000,     1.00000,     0.00000,     0.00000,     0.00000,     0.00000,   329.00000,    80.50667,   103.26868, -9999.90039, -9999.90039,     0.28500,     4.11733,   -30.30333,
2017,   1,   1,   0,  15,   -27.95667,     0.00000,     0.00000,     1.00000,     1.00000,     0.00000,     0.00000,     0.00000,     0.00000,   329.00000,    80.50667,   103.26868, -9999.90039, -9999.90039,     0.28500,     4.11733,   -30.30333,
2017,   1,   1,   0,  30,   -28.27733,     0.00000,     0.00000,     1.00000,     1.00000,     0.00000,     0.00000,     0.00000,     0.00000,   329.00000,    80.54666,   103.25867, -9999.90039, -9999.90039,     0.28500,     4.11667,   -30.61200,
2017,   1,   1,   0,  45,   -28.40533,     0.00000,     0.00000,     1.00000,     1.00000,     0.00000,     0.00000,     0.00000,     0.00000,   329.00000,    80.54666,   103.26067, -9999.90039, -9999.90039,     0.28500,     4.11333,   -30.73867,
2017,   1,   1,   1,   0,   -28.57334,     0.00000,     0.00000,     1.00000,     1.00000,     0.00000,     0.00000,     0.00000,     0.00000,   329.00000,    80.64666,   103.26268, -9999.90039, -9999.90039,     0.28500,     4.11267,   -30.88934,
2017,   1,   1,   1,  15,   -28.26867,     0.00000,     0.00000,     1.00000,     1.00000,     0.00000,     0.00000,     0.00000,     0.06000,   329.00000,    80.78001,   103.24866, -9999.90039, -9999.90039,     0.28500,     4.11133,   -30.57400,
2017,   1,   1,   1,  30,   -27.88533,     0.00000,     0.00000,     1.00000,     1.00000,     0.00000,     0.00000,     0.00000,     0.00000,   329.00000,    80.86668,   103.24065, -9999.90039, -9999.90039,     0.28500,     4.10800,   -30.18600,
2017,   1,   1,   1,  45,   -27.36600,     0.00000,     0.00000,     1.00000,     1.00000,     0.00000,     0.00000,     0.00000,     0.00000,   329.00000,    80.94667,   103.21932, -9999.90039, -9999.90039,     0.28495,     4.10800,   -29.66733,
2017,   1,   1,   2,   0,   -26.39800,     0.00000,     0.00000,     1.00000,     1.00000,     0.00000,     0.00000,     0.00000,     0.00000,   329.00000,    81.17333,   103.18201, -9999.90039, -9999.90039,     0.28500,     4.10800,   -28.69066,
2017,   1,   1,   2,  15,   -25.88000,     0.00000,     0.00000,     1.00000,     1.00000,     0.00000,     0.00000,     0.00000,     0.00000,   329.00000,    81.34000,   103.16801, -9999.90039, -9999.90039,     0.28500,     4.10667,   -28.15933,
