year,month,day,hour,minute,Temperature,Precipitation - Tipping Bucket,Precipitation - Weighing,Solar - Incoming,Solar - Outgoing,Wind Speed - Average 4.4,Wind Speed - Gust 4.4,Wind Speed - Average 2.0,Wind Speed - Gust 2.0,Wind Direction,RH,Pressure,Soil Moisture - 5 cm,Soil Moisture - 10 cm,Soil Moisture - 20 cm,Battery,Dew Point                                                                    
2016,1,1,0,0,-2.01,0,-9999.90039,1,1,7.43333,14.39333,4.44,11.85333,240,87.80666,101.90668,0.38826,-9999.90039,0.31655,4.216,-3.76067
2016,1,1,0,15,-2.01133,0,-9999.90039,1,1,7.86667,14.50667,3.60667,9.49333,237,88.71333,101.89535,0.38821,-9999.90039,0.31671,4.212,-3.62467
2016,1,1,0,30,-2.042,0,-9999.90039,1,1,6.50667,12.88667,2.7,8.59333,248,89.49998,101.88934,0.38791,-9999.90039,0.31671,4.216,-3.54467
2016,1,1,0,45,-2.032,0,-9999.90039,1,1,7.44667,14.08,3.78,10.40667,233,89.68666,101.87667,0.38806,-9999.90039,0.3166,4.212,-3.504
2016,1,1,1,0,-2.092,0,-9999.90039,1,1,8.48,17.22,4.88,11.55333,234,89.72666,101.85799,0.38735,-9999.90039,0.31655,4.216,-3.55933
2016,1,1,1,15,-2.15,0,-9999.90039,1,1,9.62,16.86,5.42667,12.39334,241,89.12668,101.85066,0.38684,-9999.90039,0.3164,4.212,-3.702
2016,1,1,1,30,-2.148,0,-9999.90039,1,1,9.98667,17.04667,6.22,13.43333,239,88.25999,101.84531,0.38675,-9999.90039,0.31636,4.21333,-3.832
2016,1,1,1,45,-2.196,0,-9999.90039,1,1,7.86,16.03333,3.84667,11.36,236,87.92667,101.83865,0.38698,-9999.90039,0.31655,4.21133,-3.93067
2016,1,1,2,0,-2.264,0,-9999.90039,1,1,9.14,16.62667,5.54667,12.86667,256,87.90001,101.82866,0.38731,-9999.90039,0.31661,4.21533,-3.99467
2016,1,1,2,15,-2.28133,0,-9999.90039,1,1,8.53333,15.77333,5.24667,11.85334,261,87.88668,101.814,0.38726,-9999.90039,0.31635,4.21067,-4.016
2016,1,1,2,30,-2.306,0,-9999.90039,1,1,7.12667,13.96,3.91333,10.82,250,88.09998,101.81398,0.38807,-9999.90039,0.31656,4.21467,-4.014
2016,1,1,2,45,-2.34,0,-9999.90039,1,1,8.54667,16.18667,5.16667,12.34,236,87.66,101.82066,0.38811,-9999.90039,0.31666,4.21133,-4.11667
2016,1,1,3,0,-2.384,0,-9999.90039,1,1,9.32667,17.16,5.67333,13.54,240,86.82,101.81865,0.38826,-9999.90039,0.31646,4.21733,-4.28533
2016,1,1,3,15,-2.46,0,-9999.90039,1,1,8.34,15.42,5.32,11.54667,253,85.62,101.81135,0.38801,-9999.90039,0.31631,4.21067,-4.54333
2016,1,1,3,30,-2.524,0,-9999.90039,1,1,8.96,15.58667,5.48,12.46,244,85.02001,101.79533,0.38803,-9999.90039,0.31647,4.21467,-4.69733
2016,1,1,3,45,-2.574,0,-9999.90039,1,1,10.47333,17.22,6.76667,13.78,232,84.56666,101.77801,0.38973,-9999.90039,0.31635,4.21067,-4.81533
2016,1,1,4,0,-2.63533,0,-9999.90039,1,1,7.72667,14.08667,4.38667,10.39334,225,84.70667,101.75667,0.39035,-9999.90039,0.31625,4.21467,-4.86067
2016,1,1,4,15,-2.676,0,-9999.90039,1,1,10.23333,16.79333,6.53333,13.59333,227,84.76001,101.72799,0.39051,-9999.90039,0.31646,4.21067,-4.89
2016,1,1,4,30,-2.708,0,-9999.90039,1,1,9.5,15.95333,5.74,12.64,239,84.82668,101.72599,0.3903,-9999.90039,0.31621,4.21333,-4.912
2016,1,1,4,45,-2.73,0,-9999.90039,1,1,9.57333,16.78666,5.79333,12.57333,232,84.67332,101.70732,0.39057,-9999.90039,0.31647,4.21067,-4.95733
2016,1,1,5,0,-2.74,0,-9999.90039,1,1,9.5,16.14666,5.86,12.58667,222,84.72,101.68401,0.39035,-9999.90039,0.31622,4.21333,-4.962
2016,1,1,5,15,-2.754,0,-9999.90039,1,1,8.84,16.61333,5.86,13.05333,223,84.77334,101.67135,0.39057,-9999.90039,0.31647,4.20933,-4.96533
2016,1,1,5,30,-2.776,0,-9999.90039,1,1,7.01333,12.7,3.92,9.43333,257,84.73332,101.65801,0.39046,-9999.90039,0.31637,4.21333,-4.99333
2016,1,1,5,45,-2.784,0,-9999.90039,1,1,7.31333,13.78,4.02667,10.34,250,84.85332,101.66,0.39057,-9999.90039,0.31652,4.20933,-4.98067
2016,1,1,6,0,-2.822,0,-9999.90039,1,1,8.65333,14.80667,4.75333,10.76667,244,85.22666,101.65601,0.39073,-9999.90039,0.31643,4.21267,-4.96
2016,1,1,6,15,-2.844,0,-9999.90039,1,1,6.94,12.82667,4.03333,9.79333,247,85.11999,101.65401,0.39073,-9999.90039,0.31647,4.20933,-5
2016,1,1,6,30,-2.894,0,-9999.90039,1,1,8.58667,14.45333,5.08,11.18,232,85.24001,101.63267,0.39067,-9999.90039,0.31657,4.21933,-5.026
2016,1,1,6,45,-2.938,0,-9999.90039,1,1,9.74667,15.83333,6.46667,12.94,223,85.36,101.63,0.39057,-9999.90039,0.31632,4.20933,-5.05067
2016,1,1,7,0,-3.16,0,-9999.90039,1,1,8.7,14.75333,4.94,11.19333,237,86.7,101.63802,0.39067,-9999.90039,0.31627,4.21333,-5.06733
2016,1,1,7,15,-3.58,0,-9999.90039,1,1,8.95333,15.16667,5.50667,11.48,232,90.36667,101.63734,0.39051,-9999.90039,0.31627,4.20867,-4.934
2016,1,1,7,30,-3.654,0,-9999.90039,1,1,8.29333,14.32667,4.94,10.82667,251,92.02666,101.64668,0.39057,-9999.90039,0.31608,4.212,-4.76667
2016,1,1,7,45,-3.634,0,-9999.90039,1,1,7.74667,14.14,5.12667,11.19333,239,91.42667,101.65334,0.39041,-9999.90039,0.31608,4.20867,-4.83267
2016,1,1,8,0,-3.706,0,-9999.90039,2.33333,1.6,9.08,16.25333,6.34,13.23333,272,89.23333,101.64535,0.39073,-9999.90039,0.31647,4.21267,-5.22467
2016,1,1,8,15,-3.852,0,-9999.90039,6.46667,4.33333,8.16667,14.68667,5.55333,11.66667,265,86.57999,101.64735,0.39083,-9999.90039,0.31597,4.208,-5.76333
2016,1,1,8,30,-3.974,0,-9999.90039,15.66667,10.53333,6.34,11.79333,3.24667,9.26,248,89.73332,101.64735,0.39099,-9999.90039,0.31614,4.21933,-5.414
2016,1,1,8,45,-3.98,0,-9999.90039,38.6,26.4,5.72667,10.58667,2.82,8.05333,233,91.6,101.63867,0.39094,-9999.90039,0.31643,4.25933,-5.15
2016,1,1,9,0,-3.748,0,-9999.90039,51.13334,34.4,5.42667,11.18667,3.24,8.59333,264,89.55334,101.64067,0.39094,-9999.90039,0.31623,4.31933,-5.21933
2016,1,1,9,15,-3.564,0,-9999.90039,50.4,33.8,7.56,14.14667,4.52667,10.82,254,85.97334,101.64401,0.39099,-9999.90039,0.31653,4.36067,-5.57267
2016,1,1,9,30,-3.848,0,-9999.90039,49.06667,33.33333,9.08,15.28,5.92,12.68667,248,86.49333,101.64802,0.39093,-9999.90039,0.31637,4.376,-5.77867
2016,1,1,9,45,-4.164,0,-9999.90039,70.66666,62.33333,4.09333,8.40667,2.28667,6.28,254,91.75333,101.64868,0.39133,-9999.90039,0.31637,4.388,-5.31067
2016,1,1,10,0,-4.058,0,-9999.90039,49.33333,47.46667,5.6,11.07333,2.64667,7.55333,246,93.27333,101.65402,0.39119,-9999.90039,0.31623,4.344,-4.988
2016,1,1,10,15,-4.262,0,-9999.90039,25.8,29.4,3.06667,7.42667,1.08,4.58667,253,94.01331,101.67667,0.39109,-9999.90039,0.31627,4.30933,-5.088
2016,1,1,10,30,-4.102,0,-9999.90039,50,56.66667,3,6.71333,1.2,4.39333,240,94.42,101.678,0.39119,-9999.90039,0.31648,4.29733,-4.87133
2016,1,1,10,45,-3.97,0,-9999.90039,82.33334,88.2,6.04,11.25333,2.94667,7.67333,260,94.82001,101.67667,0.39119,-9999.90039,0.31623,4.29733,-4.682
2016,1,1,11,0,-3.844,0,-9999.90039,120.73333,126.26667,8.54,14.93333,4.52,10.88667,251,95.02,101.65067,0.39133,-9999.90039,0.31648,4.33667,-4.53
2016,1,1,11,15,-3.844,0,-9999.90039,105.66666,106.66666,8.04667,14.62,3.73333,10.22,234,95.08667,101.63667,0.39104,-9999.90039,0.31609,4.33867,-4.52067
2016,1,1,11,30,-3.798,0,-9999.90039,102.2,98.06667,5.78667,12.15333,1.92,7.37333,257,95.29334,101.62066,0.39129,-9999.90039,0.31623,4.34533,-4.44867
2016,1,1,11,45,-3.954,0,-9999.90039,106.26667,98.4,10.11333,18.26,5.73333,13.9,227,95.34,101.60999,0.39104,-9999.90039,0.31639,4.34,-4.59467
2016,1,1,12,0,-3.94,0,-9999.90039,100.2,87.46667,7.56667,13.96667,3.60667,10.20667,258,95.32667,101.60066,0.39119,-9999.90039,0.31589,4.34333,-4.58333
2016,1,1,12,15,-3.944,0,-9999.90039,100.86667,80.26667,7.98,14.32667,4.21333,9.93333,243,95.38668,101.59265,0.39103,-9999.90039,0.31653,4.33867,-4.576
2016,1,1,12,30,-4.074,0,-9999.90039,79.86667,62.06667,8.94667,16.37333,5.19333,12.88667,253,95.51332,101.58399,0.39105,-9999.90039,0.31614,4.33,-4.68933
2016,1,1,12,45,-4.144,0,-9999.90039,73.53333,57.53333,7.06,12.58,3.43333,8.78,263,95.78001,101.58398,0.39094,-9999.90039,0.31599,4.31267,-4.72333
2016,1,1,13,0,-4.108,0,-9999.90039,97.2,75.93333,7.79333,14.15333,4.46,10.1,257,95.91335,101.57199,0.39089,-9999.90039,0.31629,4.32067,-4.668
2016,1,1,13,15,-4.216,0,-9999.90039,75.66666,59.66667,5.71333,10.65333,2.28,8.16667,263,95.93334,101.57399,0.39093,-9999.90039,0.31619,4.31667,-4.774
2016,1,1,13,30,-4.44,0,-9999.90039,105.73333,83.46667,7.5,14.62667,4.39333,10.4,295,95.95334,101.58199,0.39099,-9999.90039,0.31619,4.316,-4.99467
2016,1,1,13,45,-4.456,0,-9999.90039,127.06667,99.93333,9.56667,16.08,6.09333,12.64667,270,95.70667,101.59399,0.39094,-9999.90039,0.31605,4.33,-5.04733
2016,1,1,14,0,-4.472,0,-9999.90039,147,115.8,9.98667,16.84667,6.45333,12.82667,278,94.97334,101.60065,0.39089,-9999.90039,0.31614,4.368,-5.16533
2016,1,1,14,15,-4.132,0,-9999.90039,166,132.26666,7.07333,13,3.78667,9.26667,257,92.94001,101.59332,0.39094,-9999.90039,0.31619,4.36533,-5.108
2016,1,1,14,30,-4.03,0,-9999.90039,169.39999,136.73334,7.26,13.78667,3.92,10.82,256,89.48,101.59999,0.3911,-9999.90039,0.31615,4.39667,-5.508
2016,1,1,14,45,-4.016,0,-9999.90039,161.93333,134,8.6,15.76667,5.18667,11.66667,261,86.74667,101.60666,0.39089,-9999.90039,0.31629,4.382,-5.89933
2016,1,1,15,0,-4.208,0,-9999.90039,126.8,101.6,7.88,14.62667,4.39333,10.89333,270,86.88667,101.614,0.39123,-9999.90039,0.31603,4.36333,-6.06733
2016,1,1,15,15,-4.282,0,-9999.90039,102.13333,81.6,6.70667,13.11333,3.12667,8.22667,267,87.44666,101.632,0.39175,-9999.90039,0.31609,4.38333,-6.05733
2016,1,1,15,30,-4.334,0,-9999.90039,89.06667,71.46667,7.81333,14.5,5.00667,12.16,251,87.94001,101.64334,0.3918,-9999.90039,0.31617,4.37933,-6.03467
2016,1,1,15,45,-4.306,0,-9999.90039,71.66666,57.93333,6.28667,11.8,3.68,9.98,263,88.21999,101.66135,0.3918,-9999.90039,0.31627,4.36467,-5.96533
2016,1,1,16,0,-4.366,0,-9999.90039,45.26667,36.26667,7.26,13.6,4.14,9.86,272,88.31332,101.66934,0.39189,-9999.90039,0.31618,4.37933,-6.01267
