year,month,day,hour,minute,Temperature,Precipitation - Tipping Bucket,Precipitation - Weighing,Solar - Incoming,Solar - Outgoing,Wind Speed - Average 4.4,Wind Speed - Gust 4.4,Wind Speed - Average 2.0,Wind Speed - Gust 2.0,Wind Direction,RH,Pressure,Soil Moisture - 5 cm,Soil Moisture - 10 cm,Soil Moisture - 20 cm,Battery,Dew Point                                                                    
2019,   1,   1,   0,   0,    -2.69600,     0.00000,     0.00000,     1.00000,     1.00000,     1.68000,     6.53333,     1.68000,     6.53333,   247.00000,    88.06667,   100.45399, -9999.90039, -9999.90039,     0.33730,     4.17800,    -4.40467,
2019,   1,   1,   0,  15,    -2.69600,     0.00000,     0.00000,     1.00000,     1.00000,     1.68000,     6.53333,     1.68000,     6.53333,   254.00000,    88.06667,   100.45399, -9999.90039, -9999.90039,     0.33730,     4.17800,    -4.40467,
2019,   1,   1,   0,  30,    -2.74200,     0.00000,     0.00000,     1.00000,     1.00000,     2.52000,     8.05333,     2.52000,     8.05333,   233.00000,    87.30000,   100.45199, -9999.90039, -9999.90039,     0.33730,     4.17800,    -4.56333,
2019,   1,   1,   0,  45,    -2.86600,     0.00000,     0.00000,     1.00000,     1.00000,     0.90000,     4.58000,     0.90000,     4.58000,   237.00000,    87.29333,   100.44999, -9999.90039, -9999.90039,     0.33730,     4.17867,    -4.68533,
2019,   1,   1,   1,   0,    -2.89000,     0.00000,     0.00000,     1.00000,     1.00000,     1.68000,     6.28667,     1.68000,     6.28667,   244.00000,    87.57998,   100.45532, -9999.90039, -9999.90039,     0.33730,     4.17733,    -4.66600,
2019,   1,   1,   1,  15,    -2.85800,     0.00000,     0.00000,     1.00000,     1.00000,     1.38000,     5.44000,     1.38000,     5.44000,   246.00000,    87.54666,   100.46133, -9999.90039, -9999.90039,     0.33730,     4.17667,    -4.63733,
2019,   1,   1,   1,  30,    -2.80800,     0.00000,     0.00000,     1.00000,     1.00000,     3.00667,     7.80000,     3.00667,     7.80000,   267.00000,    87.12000,   100.45999, -9999.90039, -9999.90039,     0.33730,     4.17667,    -4.65667,
2019,   1,   1,   1,  45,    -2.75800,     0.00000,     0.00000,     1.00000,     1.00000,     3.56000,     9.56000,     3.56000,     9.56000,   260.00000,    86.14668,   100.46799, -9999.90039, -9999.90039,     0.33730,     4.17667,    -4.75800,
2019,   1,   1,   2,   0,    -2.72400,     0.00000,     0.00000,     1.00000,     1.00000,     3.30000,     8.34667,     3.30000,     8.34667,   277.00000,    85.33333,   100.47466, -9999.90039, -9999.90039,     0.33730,     4.17733,    -4.84933,
2019,   1,   1,   2,  15,    -2.81600,     0.00000,     0.00000,     1.00000,     1.00000,     2.40000,     6.58667,     2.40000,     6.58667,   263.00000,    85.41333,   100.48266, -9999.90039, -9999.90039,     0.33730,     4.17733,    -4.92600,
