year,month,day,hour,minute,Temperature,Precipitation - Tipping Bucket,Precipitation - Weighing,Solar - Incoming,Solar - Outgoing,Wind Speed - Average 4.4,Wind Speed - Gust 4.4,Wind Speed - Average 2.0,Wind Speed - Gust 2.0,Wind Direction,RH,Pressure,Soil Moisture - 5 cm,Soil Moisture - 10 cm,Soil Moisture - 20 cm,Battery,Dew Point                                                                    
2018,   1,   1,   0,   0,     6.40267,     0.00000,     0.00000,     1.00000,     1.00000,     9.50667,    15.82667,     9.50667,    15.82667,   213.00000,    99.44001,    99.62600, -9999.90039, -9999.90039,     0.33220,     4.18200,     6.32467,
2018,   1,   1,   0,  15,     6.40267,     0.00000,     0.00000,     1.00000,     1.00000,     9.50667,    15.82667,     9.50667,    15.82667,   230.00000,    99.44001,    99.62600, -9999.90039, -9999.90039,     0.33220,     4.18200,     6.32467,
2018,   1,   1,   0,  30,     7.49333,     0.00000,     0.00000,     1.00000,     1.00000,     5.00000,    11.68000,     5.00000,    11.68000,   250.00000,    99.53333,    99.67998, -9999.90039, -9999.90039,     0.33201,     4.17867,     7.43400,
2018,   1,   1,   0,  45,     8.04933,     0.00000,     0.00000,     1.00000,     1.00000,     9.31333,    18.98000,     9.31333,    18.98000,   251.00000,    99.47334,    99.71867, -9999.90039, -9999.90039,     0.33173,     4.17733,     7.97933,
2018,   1,   1,   1,   0,     7.13467,     0.00000,     0.00000,     1.00000,     1.00000,     9.62667,    18.68667,     9.62667,    18.68667,   268.00000,    99.45334,    99.77669, -9999.90039, -9999.90039,     0.33169,     4.17667,     7.06133,
2018,   1,   1,   1,  15,     5.49067,     0.20000,     0.00000,     1.00000,     1.00000,     8.48000,    15.89333,     8.48000,    15.89333,   260.00000,    99.45334,    99.85467, -9999.90039, -9999.90039,     0.33169,     4.17667,     5.41400,
2018,   1,   1,   1,  30,     3.87200,     0.20000,     0.00000,     1.00000,     1.00000,     2.46667,     8.76000,     2.46667,     8.76000,   274.00000,    99.51333,    99.91866, -9999.90039, -9999.90039,     0.33159,     4.17800,     3.80400,
2018,   1,   1,   1,  45,     2.69800,     0.00000,     0.00000,     1.00000,     1.00000,     3.30667,    10.04667,     3.30667,    10.04667,   286.00000,    99.56666,   100.00668, -9999.90039, -9999.90039,     0.33094,     4.17600,     2.63533,
2018,   1,   1,   2,   0,     2.01333,     0.00000,     0.00000,     1.00000,     1.00000,     5.72667,    12.45333,     5.72667,    12.45333,   240.00000,    99.57333,   100.09068, -9999.90039, -9999.90039,     0.33136,     4.17667,     1.95133,
2018,   1,   1,   2,  15,     1.74200,     0.00000,     0.00000,     1.00000,     1.00000,     2.94000,     9.44000,     2.94000,     9.44000,   279.00000,    99.63332,   100.19865, -9999.90039, -9999.90039,     0.33183,     4.17467,     1.68933,
2018,   1,   1,   2,  30,     1.48333,     0.00000,     0.00000,     1.00000,     1.00000,     4.81333,    11.60667,     4.81333,    11.60667,   314.00000,    99.54665,   100.28532, -9999.90039, -9999.90039,     0.33173,     4.17333,     1.41667,
2018,   1,   1,   2,  45,     1.31533,     0.00000,     0.00000,     1.00000,     1.00000,     4.63333,    11.31333,     4.63333,    11.31333,   302.00000,    99.66665,   100.34733, -9999.90039, -9999.90039,     0.33508,     4.17600,     1.26400,
2018,   1,   1,   3,   0,     1.14333,     0.00000,     0.00000,     1.00000,     1.00000,     5.18000,    11.30667,     5.18000,    11.30667,   282.00000,    99.63331,   100.38867, -9999.90039, -9999.90039,     0.33730,     4.17267,     1.08800,
2018,   1,   1,   3,  15,     0.97733,     0.00000,     0.00000,     1.00000,     1.00000,     2.70667,     7.68000,     2.70667,     7.68000,   300.00000,    99.69333,   100.45533, -9999.90039, -9999.90039,     0.33767,     4.16867,     0.93200,
2018,   1,   1,   3,  30,     0.89000,     0.00000,     0.00000,     1.00000,     1.00000,     2.52000,     8.28000,     2.52000,     8.28000,   296.00000,    99.59998,   100.53265, -9999.90039, -9999.90039,     0.33787,     4.16667,     0.83000,
2018,   1,   1,   3,  45,     0.90600,     0.00000,     0.00000,     1.00000,     1.00000,     5.25333,    13.36000,     5.25333,    13.36000,   316.00000,    99.62666,   100.63934, -9999.90039, -9999.90039,     0.33884,     4.16667,     0.85067,
2018,   1,   1,   4,   0,     0.92200,     0.00000,     0.00000,     1.00000,     1.00000,     5.92667,    12.88667,     5.92667,    12.88667,   299.00000,    99.59998,   100.72800, -9999.90039, -9999.90039,     0.33875,     4.16533,     0.86800,
2018,   1,   1,   4,  15,     0.93600,     0.00000,     0.00000,     1.00000,     1.00000,     3.78000,    10.22667,     3.78000,    10.22667,   306.00000,    99.48667,   100.79866, -9999.90039, -9999.90039,     0.33767,     4.16467,     0.86200,
2018,   1,   1,   4,  30,     0.93933,     0.00000,     0.00000,     1.00000,     1.00000,     6.16000,    13.17333,     6.16000,    13.17333,   319.00000,    99.44667,   100.88134, -9999.90039, -9999.90039,     0.33821,     4.16400,     0.86067,
2018,   1,   1,   4,  45,     0.88600,     0.00000,     0.00000,     1.00000,     1.00000,     6.88667,    14.26667,     6.88667,    14.26667,   314.00000,    99.32667,   100.91866, -9999.90039, -9999.90039,     0.33911,     4.16333,     0.78800,
2018,   1,   1,   5,   0,     0.88400,     0.00000,     0.00000,     1.00000,     1.00000,     8.61333,    15.82667,     8.61333,    15.82667,   316.00000,    99.24665,   100.96866, -9999.90039, -9999.90039,     0.33978,     4.16267,     0.77600,
2018,   1,   1,   5,  15,     0.81067,     0.00000,     0.00000,     1.00000,     1.00000,     7.99333,    15.52667,     7.99333,    15.52667,   327.00000,    99.05334,   101.00601, -9999.90039, -9999.90039,     0.33964,     4.16067,     0.67667,
2018,   1,   1,   5,  30,     0.74400,     0.00000,     0.00000,     1.00000,     1.00000,     6.64667,    14.74000,     6.64667,    14.74000,   334.00000,    98.94001,   101.09733, -9999.90039, -9999.90039,     0.34071,     4.16200,     0.59600,
2018,   1,   1,   5,  45,     0.70467,     0.00000,     0.00000,     1.00000,     1.00000,     7.06667,    15.72000,     7.06667,    15.72000,   320.00000,    98.73999,   101.17866, -9999.90039, -9999.90039,     0.34090,     4.15667,     0.52667,
